Date,ClosingQuote,Change ($),Change (%),Volume Traded
2006-06-05,5.53,0,0,0
2006-06-06,5.52,-0.01,-0.18,3450
2006-06-07,5.52,0,0,0
2006-06-08,5.52,0,0,0
2006-06-09,5.52,0,0,0
2006-06-10,5.52,0,0,0
2006-06-11,5.52,0,0,0
2006-06-12,5.52,0,0,0
2006-06-13,5.52,0,0,0
2006-06-14,5.52,0,0,0
2006-06-15,5.52,0,0,0
2006-06-16,5.52,0,0,0
2006-06-17,5.52,0,0,0
2006-06-18,5.52,0,0,0
2006-06-19,5.52,0,0,0
2006-06-20,5.43,-0.09,-1.63,276
2006-06-21,5.43,0,0,0
2006-06-22,5.43,0,0,0
2006-06-23,5.43,0,0,0
2006-06-24,5.43,0,0,0
2006-06-25,5.43,0,0,0
2006-06-26,5.43,0,0,0
2006-06-27,5.42,-0.01,-0.18,400
2006-06-28,5.42,0,0,0
2006-06-29,5.42,0,0,0
2006-06-30,5.42,0,0,0
2006-07-01,5.42,0,0,0
2006-07-02,5.42,0,0,0
2006-07-03,5.42,0,0,0
2006-07-04,5.2,-0.22,-4.06,956
2006-07-05,5,-0.2,-3.85,6240
2006-07-06,5,0,0,0
2006-07-07,5,0,0,0
2006-07-08,5,0,0,0
2006-07-09,5,0,0,0
2006-07-10,5,0,0,0
2006-07-11,4.8,-0.2,-4,3600
2006-07-12,4.8,0,0,7238
2006-07-13,4.8,0,0,0
2006-07-14,4.8,0,0,22608
2006-07-15,4.8,0,0,0
2006-07-16,4.8,0,0,0
2006-07-17,4.8,0,0,0
2006-07-18,4.8,0,0,2027
2006-07-19,4.8,0,0,1000
2006-07-20,4.8,0,0,0
2006-07-21,4.8,0,0,2358
2006-07-22,4.8,0,0,0
2006-07-23,4.8,0,0,0
2006-07-24,4.8,0,0,0
2006-07-25,4.8,0,0,1500
2006-07-26,4.8,0,0,2000
2006-07-27,4.8,0,0,0
2006-07-28,4.8,0,0,7300
2006-07-29,4.8,0,0,0
2006-07-30,4.8,0,0,0
2006-07-31,4.8,0,0,0
2006-08-01,4.8,0,0,0
2006-08-02,4.8,0,0,8683
2006-08-03,4.8,0,0,0
2006-08-04,4.79,-0.01,-0.21,10300
2006-08-05,4.79,0,0,0
2006-08-06,4.79,0,0,0
2006-08-07,4.79,0,0,0
2006-08-08,4.71,-0.08,-1.67,2400
2006-08-09,4.71,0,0,0
2006-08-10,4.71,0,0,0
2006-08-11,4.7,-0.01,-0.21,417
2006-08-12,4.7,0,0,0
2006-08-13,4.7,0,0,0
2006-08-14,4.7,0,0,0
2006-08-15,4.7,0,0,0
2006-08-16,4.7,0,0,0
